# m1 q z
3.650141703729977394e+01 7.559071681323232816e-01 4.065742496892197355e-01
4.554236642683711977e+01 3.067628761038688756e-01 3.531217397837105865e-01
4.038294631262536427e+01 3.133724018856894888e-01 5.451538891978388035e-01
3.124070300639519360e+01 6.680874939166892013e-01 4.081722154611566733e-01
3.990527186252474934e+01 5.057754754176100320e-01 3.946059117223856272e-01
3.112236499817230850e+01 7.841020880157666406e-01 5.056512830141688397e-01
2.597198819846692786e+01 9.889480167847060077e-01 3.239990485436223255e-01
4.986144502527584166e+01 2.303568485847838354e-01 2.803618717703926233e-01
2.942258800918988726e+01 7.013431036735598978e-01 7.769882039036953847e-01
4.524448169962921185e+01 2.657609416869782804e-01 4.702915184819090877e-01
3.504140361313827867e+01 9.405636694655702401e-01 3.490261190348180054e-01
5.228933852819305628e+01 2.573481602442747040e-01 3.160978448752693182e-01
2.604042943050421144e+01 9.365389959844213630e-01 2.792713302513794571e-01
4.747733361479104985e+01 3.569904276500733831e-01 3.279280692086573579e-01
3.083730074763874640e+01 8.172144682158338780e-01 3.798238024050953898e-01
4.352933116948804582e+01 2.897777965755912177e-01 7.006946967355003331e-01
3.388769022690429011e+01 9.424228076425359424e-01 2.366237894654940055e-01
3.013167343843989343e+01 6.898552101864519059e-01 6.224866756151873348e-01
3.256225234357107468e+01 8.316625881680101973e-01 4.936611966787662897e-01
3.494453190101588547e+01 7.243676223852978380e-01 3.843802509650869337e-01
2.742329835127917548e+01 7.928605580603852454e-01 7.517093636546404722e-01
3.791885383076510152e+01 4.905797900801684985e-01 3.570618210997176800e-01
3.191549663679702675e+01 6.454488220672911503e-01 2.990288202018446251e-01
4.287068544941947579e+01 4.203881632917655375e-01 3.403464376101292266e-01
4.072126178813851283e+01 8.797280633351878265e-01 8.102199701418669742e-01
4.757062393470330619e+01 5.531820821897607265e-01 8.866432321115038651e-01
3.301119672150392148e+01 9.968813350699825548e-01 3.259895432669370763e-01
3.711571908450209634e+01 8.647796657071223914e-01 2.509161158486551968e-01
4.639295150717980931e+01 3.834155444239913946e-01 3.470285756254429810e-01
3.377157025840754301e+01 5.772768122872031782e-01 6.565199426716549214e-01
5.634710569182097828e+01 3.887472285940496430e-01 1.057228895268895519e+00
6.184269267585300156e+01 1.349504916897542872e-01 2.985763694138123259e-01
2.662553277677342223e+01 9.530554723317823385e-01 5.532150376308030415e-01
4.003817449760011016e+01 3.892191796070084697e-01 6.697602552229121597e-01
3.621318867512253803e+01 4.258538307085532049e-01 5.274228069823670983e-01
3.647250612608890918e+01 6.254909276356934722e-01 3.908894914119196429e-01
2.619175316449808832e+01 9.228163191540249555e-01 5.957604297359850865e-01
3.462606311231350986e+01 6.846387131522535530e-01 3.754469169919119609e-01
3.175336976447346515e+01 5.505940165116008922e-01 4.387808074514735757e-01
3.953115869535411520e+01 6.029357448764135485e-01 4.316525899814491751e-01
3.122664348446499361e+01 7.709589564493676273e-01 6.479128117571290035e-01
4.767334060730100020e+01 3.917578794151542199e-01 3.128740080910539234e-01
3.648152089712566237e+01 5.990621494972135919e-01 4.402973126021315631e-01
4.608679706040501856e+01 3.222726480734819932e-01 4.485255570363000377e-01
2.573350050396663136e+01 9.722339133981861004e-01 4.413273218255512331e-01
4.176190383621562319e+01 3.660425074001903423e-01 4.292984699349572386e-01
3.065200234674860980e+01 9.476461912870602911e-01 4.034063568574939862e-01
7.313957673603657383e+01 3.935680435392819865e-01 7.674836295647978757e-01
3.121100693896064726e+01 8.780282087120552248e-01 4.325993207695033593e-01
5.452324893728199129e+01 2.922406928442110030e-01 1.980115250613803668e-01
3.933164081553672986e+01 8.077432926585256245e-01 2.829132745347455735e-01
4.238531573687010479e+01 3.161240398849698430e-01 5.803791399730450218e-01
3.850209380033290074e+01 5.651331035548156079e-01 4.305851436110406660e-01
3.642242593672647644e+01 7.088760004896704769e-01 4.231834582361364006e-01
3.399926956065701233e+01 5.914364744206644930e-01 5.063669005065616346e-01
3.526172575049619695e+01 8.137103158754074306e-01 3.049180533960106909e-01
2.894148568790952680e+01 9.931720537285577688e-01 3.279589739934664627e-01
4.356806771795400834e+01 9.805176856252768580e-01 4.683333952132176514e-01
4.119428130084160955e+01 4.907896634189891083e-01 3.668470607081862345e-01
6.187735490144558526e+01 5.784527611891362442e-01 7.098788306572351159e-01
3.151973703022652273e+01 9.844693924884100333e-01 3.115614892648116974e-01
5.476762694901954376e+01 2.185615219193122460e-01 2.743008067865497779e-01
6.640340222482993227e+01 1.319417832506619981e-01 2.622086154347523235e-01
8.162274314694403188e+01 5.908442462394360994e-01 4.904744446600259877e-01
3.349120426801328421e+01 7.180616702189248635e-01 5.216074573330133912e-01
4.179253929829317826e+01 5.165416533386508746e-01 3.992122955399239337e-01
2.595365062259502409e+01 8.369258743437242298e-01 5.910797077713680903e-01
3.062897301990900445e+01 8.626155551057860249e-01 5.701899769975000698e-01
9.000165686912680485e+01 2.859979463790518484e-01 6.300215340331278835e-01
4.454900898808064369e+01 2.963110092484375069e-01 5.881620147149888567e-01
4.267936520049673277e+01 3.214196659357146935e-01 5.323794177058941424e-01
3.104317912112893296e+01 9.659547617127984820e-01 5.094731315436036301e-01
2.905991682046262881e+01 8.525457146148418541e-01 5.631613657909827486e-01
4.449186455511305383e+01 2.695202174929842709e-01 4.721902675642479230e-01
3.973037847846388360e+01 7.577896296889078398e-01 3.031801010567534149e-01
2.969924139164768206e+01 7.718772627698294864e-01 3.399984234474585088e-01
2.730801801279403662e+01 9.871265317701717334e-01 5.052162929596927254e-01
3.622455507603820735e+01 5.310585312847941886e-01 4.722455950247229639e-01
2.959316731352618746e+01 8.834763058641933453e-01 2.843236151015166024e-01
3.438634859784689013e+01 8.143413133555121863e-01 2.662028256086521605e-01
4.472343721630370084e+01 3.258317882471916671e-01 3.187354572969557376e-01
4.615371076866325240e+01 2.969595230004323794e-01 3.105952377502027018e-01
3.458292803484284406e+01 4.759031744616792348e-01 5.390305571673357221e-01
4.394157905026187905e+01 4.772059041943926827e-01 2.748759688321375516e-01
3.589487207455955087e+01 5.096397106115976294e-01 4.006325945207735995e-01
3.493036523362855661e+01 5.404960711991844136e-01 3.633466951545419321e-01
4.990657331957184795e+01 6.516486952168829561e-01 1.002766304957955823e+00
4.309638691284386169e+01 4.779605426611636121e-01 2.503630668908927714e-01
